
D  100	WGS 84
GPS 12   2.01 
T  N51 48.6154 W001 07.2843 Thu Aug 14 14:26:36 1997
T  N51 48.4172 W001 07.7906 Thu Aug 14 14:26:57 1997
T  N51 48.5227 W001 08.0954 Thu Aug 14 14:27:17 1997
T  N51 48.3702 W001 07.8820 Thu Aug 14 14:27:37 1997
T  N51 48.5305 W001 07.9139 Thu Aug 14 14:27:57 1997
T  N51 48.4030 W001 07.9534 Thu Aug 14 14:28:18 1997
T  N51 48.4741 W001 07.7365 Thu Aug 14 14:28:38 1997
T  N51 48.5469 W001 07.7227 Thu Aug 14 14:28:59 1997
T  N51 48.4928 W001 07.8662 Thu Aug 14 14:29:20 1997
T  N51 48.7368 W001 07.4929 Thu Aug 14 14:29:40 1997
T  N51 48.6995 W001 07.6773 Thu Aug 14 14:30:01 1997
T  N51 48.6396 W001 07.4433 Thu Aug 14 14:30:22 1997
T  N51 48.7767 W001 07.3255 Thu Aug 14 14:30:42 1997
T  N51 48.8047 W001 07.4996 Thu Aug 14 14:31:03 1997
T  N51 48.7442 W001 07.0600 Thu Aug 14 14:31:23 1997
T  N51 48.8176 W001 07.2402 Thu Aug 14 14:31:44 1997
T  N51 48.7072 W001 07.1555 Thu Aug 14 14:32:05 1997
T  N51 48.7284 W001 06.8816 Thu Aug 14 14:32:26 1997
T  N51 48.7239 W001 07.2103 Thu Aug 14 14:32:46 1997
T  N51 48.6125 W001 06.9637 Thu Aug 14 14:33:07 1997
T  N51 48.7098 W001 06.8086 Thu Aug 14 14:33:28 1997
T  N51 48.5839 W001 07.1124 Thu Aug 14 14:33:49 1997
T  N51 48.9264 W001 06.7159 Thu Aug 14 14:34:10 1997
T  N51 49.2495 W001 06.2823 Thu Aug 14 14:34:30 1997
T  N51 49.6049 W001 06.5089 Thu Aug 14 14:34:50 1997
T  N51 49.9879 W001 06.7494 Thu Aug 14 14:35:11 1997
T  N51 50.3503 W001 06.9106 Thu Aug 14 14:35:32 1997
T  N51 50.7494 W001 06.9904 Thu Aug 14 14:35:53 1997
T  N51 51.0990 W001 07.1996 Thu Aug 14 14:36:13 1997
T  N51 51.4144 W001 07.5711 Thu Aug 14 14:36:34 1997
T  N51 51.7224 W001 07.9892 Thu Aug 14 14:36:54 1997
T  N51 52.1405 W001 08.0175 Thu Aug 14 14:37:15 1997
T  N51 52.5692 W001 08.1472 Thu Aug 14 14:37:36 1997
T  N51 52.9500 W001 08.2882 Thu Aug 14 14:37:56 1997
